rowId,documentId,sectionRef,oldDisposition,oldPriority,newDisposition,newPriority,stillNeedsHardening,outcome,newNextAction
icao4444-extracted::icao4444_5_3,icao4444-extracted,ICAO4444 5.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_4,icao4444-extracted,ICAO4444 5.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_6,icao4444-extracted,ICAO4444 5.6,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_7,icao4444-extracted,ICAO4444 5.7,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_8,icao4444-extracted,ICAO4444 5.8,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_10,icao4444-extracted,ICAO4444 5.10,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_5_11,icao4444-extracted,ICAO4444 5.11,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_1,icao4444-extracted,ICAO4444 6.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_2,icao4444-extracted,ICAO4444 6.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_3,icao4444-extracted,ICAO4444 6.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_4,icao4444-extracted,ICAO4444 6.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_5,icao4444-extracted,ICAO4444 6.5,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_6,icao4444-extracted,ICAO4444 6.6,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_6_7,icao4444-extracted,ICAO4444 6.7,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_1,icao4444-extracted,ICAO4444 7.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_2,icao4444-extracted,ICAO4444 7.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_3,icao4444-extracted,ICAO4444 7.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_4,icao4444-extracted,ICAO4444 7.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_5,icao4444-extracted,ICAO4444 7.5,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_6,icao4444-extracted,ICAO4444 7.6,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_7,icao4444-extracted,ICAO4444 7.7,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_8,icao4444-extracted,ICAO4444 7.8,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_11,icao4444-extracted,ICAO4444 7.11,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_12,icao4444-extracted,ICAO4444 7.12,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_13,icao4444-extracted,ICAO4444 7.13,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_14,icao4444-extracted,ICAO4444 7.14,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_15,icao4444-extracted,ICAO4444 7.15,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_16,icao4444-extracted,ICAO4444 7.16,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_7_17,icao4444-extracted,ICAO4444 7.17,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_12_1,icao4444-extracted,ICAO4444 12.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_12_2,icao4444-extracted,ICAO4444 12.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_12_3,icao4444-extracted,ICAO4444 12.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_15_1,icao4444-extracted,ICAO4444 15.1,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_15_3,icao4444-extracted,ICAO4444 15.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_15_4,icao4444-extracted,ICAO4444 15.4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao4444-extracted::icao4444_15_6,icao4444-extracted,ICAO4444 15.6,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_2_8,icao9432-extracted,ICAO9432 2.8,partially_extracted,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_2_8_2,icao9432-extracted,ICAO9432 2.8.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_ch4,icao9432-extracted,ICAO9432 Ch4,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_2,icao9432-extracted,ICAO9432 4.2,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_3,icao9432-extracted,ICAO9432 4.3,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_5,icao9432-extracted,ICAO9432 4.5,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_6,icao9432-extracted,ICAO9432 4.6,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_7,icao9432-extracted,ICAO9432 4.7,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_8,icao9432-extracted,ICAO9432 4.8,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_9,icao9432-extracted,ICAO9432 4.9,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_4_10,icao9432-extracted,ICAO9432 4.10,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_ch5,icao9432-extracted,ICAO9432 Ch5,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
icao9432-extracted::icao9432_ch9,icao9432-extracted,ICAO9432 Ch9,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_3225,sera-923-2012-extracted,SERA.3225,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_6005,sera-923-2012-extracted,SERA.6005,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_7001,sera-923-2012-extracted,SERA.7001,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_7005,sera-923-2012-extracted,SERA.7005,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_9005,sera-923-2012-extracted,SERA.9005,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_9010,sera-923-2012-extracted,SERA.9010,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_11005,sera-923-2012-extracted,SERA.11005,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
sera-923-2012-extracted::sera_12015,sera-923-2012-extracted,SERA.12015,extract,high,window_hardened,none,no,resolved_to_exact_manifest_windows,Use exact manifest-window rows for ingestion and curation; no further broad-row source-window hardening is required.
