priority,decision,document_id,source_path,proposed_section_id,source_section,start_line,end_line,source_role,authority_ceiling,ledger_rows,language_boundary,overlap_status,rationale,next_action
11,add,icao4444-extracted,research/txt/icao4444-extracted.txt,phraseology_transfer_frequency_12_3_1_4,ICAO Doc 4444 12.3.1.4,13784,13833,icao_phraseology,phraseology_support,icao4444-extracted::icao4444_12_3,english_only,no_overlap,"Standard phraseology for transfer of control/frequency change, monitor, standby, and remain-this-frequency forms.",Add to icao4444.json in the first clearance/comms manifest widening.
12,add,icao4444-extracted,research/txt/icao4444-extracted.txt,phraseology_clearance_issuance_12_3_2_1,ICAO Doc 4444 12.3.2.1,14257,14293,icao_phraseology,phraseology_support,icao4444-extracted::icao4444_12_3,english_only,no_overlap,"Standard area-control clearance issuance/reclearance/controlled-airspace entry and exit phraseology needed to anchor clearance forms.",Add to icao4444.json in the first clearance/comms manifest widening.
13,add,icao9432-extracted,research/txt/icao9432-extracted.txt,transfer_communications_2_8_2_en,ICAO Doc 9432 2.8.2,3830,3855,icao_rtf_guidance,phraseology_support,icao9432-extracted::icao9432_2_8_2,english_only,no_overlap,"English-only transfer-of-communications guidance and examples; Polish translation starts after the selected window.",Add to icao9432.json in the first clearance/comms manifest widening.
14,add,cap413-extracted,research/txt/cap413-extracted.txt,corrections_2_54_to_2_55,CAP 413 2.54-2.55,6255,6272,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_corrections_and_repetitions,english_only,no_overlap,"UK RTF guidance for correction and full-message repetition phraseology. Split from combined 2.54-2.67 after live ingestion exceeded the candidate review cap.",Add to cap413.json in the first clearance/comms manifest widening.
15,add,cap413-extracted,research/txt/cap413-extracted.txt,acknowledgement_receipt_2_56,CAP 413 2.56,6273,6287,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_acknowledgement_of_receipt,english_only,no_overlap,"UK RTF guidance for acknowledgement by callsign or Roger/callsign. Split from combined 2.54-2.67 after live ingestion exceeded the candidate review cap.",Add to cap413.json in the first clearance/comms manifest widening.
16,add,cap413-extracted,research/txt/cap413-extracted.txt,transfer_content_2_57_to_2_59,CAP 413 2.57-2.59,6288,6306,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_transfer_of_communications,english_only,no_overlap,"UK RTF guidance for transfer-instruction content, single-message guidance, readback-before-transfer guidance, and assumption of satisfactory transfer. Split from 2.57-2.64 after live ingestion produced invalid truncated JSON.",Add to cap413.json in the first clearance/comms manifest widening.
17,add,cap413-extracted,research/txt/cap413-extracted.txt,frequency_change_permission_2_60_to_2_61,CAP 413 2.60-2.61,6308,6324,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_transfer_of_communications,english_only,no_overlap,"UK RTF guidance for advised frequency change, pilot notification before unauthorised change, and controlled-airspace permission before changing frequency. Split from 2.57-2.64 after live ingestion produced invalid truncated JSON.",Add to cap413.json in the first clearance/comms manifest widening.
18,add,cap413-extracted,research/txt/cap413-extracted.txt,standby_monitor_conditional_contact_2_62_to_2_63,CAP 413 2.62-2.63,6326,6379,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_transfer_of_communications,english_only,no_overlap,"UK RTF guidance for standby/monitor use, contact at a point or level, and radar-heading report on transfer. Split from 2.57-2.64 after live ingestion produced invalid truncated JSON.",Add to cap413.json in the first clearance/comms manifest widening.
19,add,cap413-extracted,research/txt/cap413-extracted.txt,freecall_change_intention_2_64,CAP 413 2.64,6381,6390,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_transfer_of_communications,english_only,no_overlap,"UK RTF guidance for pilot request or notification when intending to freecall or change to another agency. Split from 2.57-2.64 after live ingestion produced invalid truncated JSON.",Add to cap413.json in the first clearance/comms manifest widening.
20,add,cap413-extracted,research/txt/cap413-extracted.txt,clearance_issue_context_2_65_to_2_67,CAP 413 2.65-2.67,6391,6428,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_clearance_issue_and_read_back_requirements,english_only,no_overlap,"UK RTF guidance for clearance issue context before the existing 2.68-2.71 readback window. Split from combined 2.54-2.67 after live ingestion exceeded the candidate review cap.",Add to cap413.json in the first clearance/comms manifest widening.
21,add,cap413-extracted,research/txt/cap413-extracted.txt,unable_reclearance_critical_info_2_72_to_2_75,CAP 413 2.72-2.75,6556,6604,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_clearance_issue_and_read_back_requirements,english_only,no_overlap,"Completes the immediate CAP 413 readback context with UNABLE, revised-clearance cancellation, and critical-information repetition rules.",Add to cap413.json in the first clearance/comms manifest widening.
22,add,cap413-extracted,research/txt/cap413-extracted.txt,compliance_timing_2_82_to_2_87,CAP 413 2.82-2.87,6703,6783,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_complying_with_clearances_and_instructions,english_only,no_overlap,"High-yield operational guidance for prompt compliance, delay advice, when-ready/after-passing/now/immediately semantics, phrase placement, and examples. Split from CAP 413 2.82-2.91 after live ingestion showed the combined window was too heavy.",Add to cap413.json in the first clearance/comms manifest widening.
23,add,cap413-extracted,research/txt/cap413-extracted.txt,air_ground_communication_failure_2_88,CAP 413 2.88,6784,6832,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_communication_failure,english_only,no_overlap,"Aircraft-side communication-failure checks, alternate-frequency attempts, transmitting blind, receiver-failure reports, and intention transmission. Split from CAP 413 2.82-2.91 after live ingestion showed the combined window was too heavy.",Add to cap413.json in the first clearance/comms manifest widening.
24,add,cap413-extracted,research/txt/cap413-extracted.txt,ground_air_communication_failure_2_89_to_2_91,CAP 413 2.89-2.91,6833,6864,national_rtf_guidance,guidance_requirement,cap413-extracted::cap413_ch2_communication_failure,english_only,no_overlap,"Ground-station communication-failure checks, blind transmission, and assumed level/route/EAT/weather message content. Split from CAP 413 2.82-2.91 after live ingestion showed the combined window was too heavy.",Add to cap413.json in the first clearance/comms manifest widening.
25,defer,icao4444-extracted,research/txt/icao4444-extracted.txt,phraseology_position_reporting_12_3_1_9_to_12_3_1_10,ICAO Doc 4444 12.3.1.9-12.3.1.10,14018,14068,icao_phraseology,phraseology_support,icao4444-extracted::icao4444_12_3,english_only,no_overlap,"Useful support phraseology for position reporting, but the first batch already has binding/procedural position-report rules from SERA.8025 and ICAO Doc 4444 4.11.",Hold for follow-up unless first-batch omission review shows phraseology gap.
26,defer,h01-extracted,research/txt/h01-extracted.txt,establishment_rtf_communications_3_3,H01 3.3,3494,3915,national_rtf_guidance,guidance_requirement,h01-extracted::h01_3_3,bilingual_interleaved,no_overlap,"Austrian guidance for initial calls; relevant, but long bilingual extraction and lower priority than binding SERA/ICAO and CAP contract windows.",Hold for Austrian phraseology follow-up.
27,defer,h01-extracted,research/txt/h01-extracted.txt,assurance_rtf_frequencies_3_9,H01 3.9,4467,4630,national_rtf_guidance,guidance_requirement,h01-extracted::h01_3_9,bilingual_interleaved,overlaps_current_manifest_corrections_3_8_3_4467_to_4500,"Relevant continuous-watch and frequency-use guidance, but the current H01 3.8.3 manifest window already overlaps the 3.9 heading and early 3.9 content.",Repair or explicitly accept overlap before manifesting.
28,defer,h01-extracted,research/txt/h01-extracted.txt,transfer_vhf_communications_3_10,H01 3.10,4631,4746,national_rtf_guidance,guidance_requirement,h01-extracted::h01_3_10,bilingual_interleaved,no_overlap,"Relevant Austrian transfer-of-VHF guidance, but largely duplicates higher-priority ICAO Doc 9432, ICAO Doc 4444 12.3.1.4, and CAP 413 transfer windows.",Hold for Austrian phraseology follow-up after first-batch audit.
