sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R012,record,candidates,cap413-extracted,unable_reclearance_critical_info_2_72_to_2_75,cap413-extracted::unable_reclearance_critical_info_2_72_to_2_75::edaf457e4ec53926,accepted,operational_guidance,example,best_practice,review_only,review_only,challenger_overridden;curated;judge_demoted;support_only,"Weather hazards (thunderstorms, hail, icing, etc.) are considered examples of critical information.","Weather hazards (thunderstorms, hail, icing, etc.).",promote_with_corrections,,,,
R013,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::2c0a6da5b0abc95f,accepted,background_support,note,background_support,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice;nested_conditions;support_only,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,promote_with_corrections,,,,
R014,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::1ba408f68e9b501d,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway shall always be read back.","The following items shall always be read back:
---
Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway",promote,,,,
R015,record,rejected,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::647df1446645072b,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,bilingual;curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,,,,
R016,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::d19604b475643777,accepted,operational_guidance,may,advisory_permission,review_only,review_only,bilingual;curated;judge_demoted;nested_conditions;parent_child,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,It is permissible for verification for the receiving station to read back the message as an additional acknowledgement of receipt.,promote_with_corrections,,,,
R017,record,candidates,h01-extracted,corrections_3_8_3,h01-extracted::corrections_3_8_3::16272622eb9270ac,accepted,operational_guidance,should,best_practice,review_only,review_only,bilingual;challenger_overridden;curated;judge_demoted,"Specific items should be requested, as appropriate, such as SAY AGAIN WIND.","Specific items should be requested, as appropriate, such as “SAY AGAIN WIND”.",promote,,,,
R018,record,candidates,h01-extracted,end_of_conversation_3_8_2,h01-extracted::end_of_conversation_3_8_2::1d66565b4872e6a0,accepted,operational_guidance,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;executable_or_partial,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,A radiotelephone conversation shall be terminated by the receiving ATS unit or the aircraft using its own call sign.,,,,,
R019,record,rejected,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::1ebd71be057d48f1,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;judge_demoted;non_accepted;table_or_figure,"Take-off clearance shall be issued at Position 3, if not practicable at Position 2.","Position 3. Take-off clearance is issued here, if not practicable at position 2.",reject,,,,
R020,record,candidates,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::ea64ad7c56d8e4ef,accepted,best_practice,should,best_practice,partially_executable,property_or_family_test,executable_or_partial;judge_overridden;table_or_figure,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,,,,,
R021,record,candidates,icao4444-extracted,arriving_aircraft_7_10,icao4444-extracted::arriving_aircraft_7_10::dcc6bc5c93d748ec,accepted,background_support,note,definition,review_only,review_only,curated;judge_demoted;nested_conditions;support_only,See Figure 7-2.,Note 1.— See Figure 7-2.,promote,,,,
R022,record,rejected,icao4444-extracted,clearance_scope_contents_4_5_1_to_4_5_7_4,icao4444-extracted::clearance_scope_contents_4_5_1_to_4_5_7_4::b0cea0c2e3246c75,rejected,authoritative_requirement,may,phraseology_rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;non_accepted;quote_audit_fail,The phrases 'cleared (designation) departure' or 'cleared (designation) arrival' may be used when standard departure or arrival routes have been established by the appropriate ATS authority and published in Aeronautical Information Publications (AIPs).,The phrases 'cleared (designation) departure' or 'cleared (designation) arrival' may be used when standard departure or arrival routes have been established,reject,,,,
R023,record,candidates,icao4444-extracted,departing_aircraft_7_9,icao4444-extracted::departing_aircraft_7_9::ace9c0a1a5794eee,accepted,operational_guidance,should,best_practice,partially_executable,property_or_family_test,curated;executable_or_partial;nested_conditions;table_or_figure,Factors to be considered in relation to the departure sequence include the need to apply wake turbulence separation minima.,"Factors which should be considered in relation to the departure sequence include, inter alia:
---
d) need to apply wake turbulence separation minima;",manual_corrected_replacement_accept,,,,
R024,record,candidates,icao4444-extracted,phraseology_clearance_issuance_12_3_2_1,icao4444-extracted::phraseology_clearance_issuance_12_3_2_1::bb268465618a9fbc,accepted,operational_guidance,shall,phraseology_rule,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;judge_overridden,Clearance to enter controlled airspace shall use the format: ENTER CONTROLLED AIRSPACE (or CONTROL ZONE) [VIA (significant point or route)] AT (level) [AT (time)].,ENTER CONTROLLED AIRSPACE (or CONTROL ZONE) [VIA (significant point or route)] AT (level) [AT (time)];,,,,,
R025,record,candidates,icao4444-extracted,phraseology_transfer_frequency_12_3_1_4,icao4444-extracted::phraseology_transfer_frequency_12_3_1_4::50ac98b0cfa6d73b,accepted,operational_guidance,shall,phraseology_rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted,Transfer of control phraseology shall use: AT (or OVER) (time or place) [or WHEN] [PASSING/LEAVING/REACHING (level)] CONTACT (unit call sign) (frequency);,"AT (or OVER) (time or place) [or WHEN]
---
[PASSING/LEAVING/REACHING (level)] CONTACT
---
(unit call sign) (frequency);",promote,,,,
R026,record,candidates,icao4444-extracted,position_reporting_voice_4_11_1_to_4_11_3,icao4444-extracted::position_reporting_voice_4_11_1_to_4_11_3::e7db6822d68514f3,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted,Position reports shall contain position.,position,promote,,,,
R027,record,rejected,icao4444-extracted,readback_4_5_7_5,icao4444-extracted::readback_4_5_7_5::1cc502e99b33ace6,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,,,,
R028,record,candidates,icao4444-extracted,readback_4_5_7_5,icao4444-extracted::readback_4_5_7_5::80a171af98372544,accepted,background_support,note,definition,review_only,review_only,curated;judge_demoted;nested_conditions;parent_child;support_only,"The procedures and provisions relating to the exchange and acknowledgement of CPDLC messages are contained in Annex 10, Volume II and the PANS-ATM, Chapter 14.","Note.— The procedures and provisions relating to the exchange and acknowledgement of CPDLC messages are contained in Annex 10, Volume II and the PANS-ATM, Chapter 14.",promote,,,,
R029,record,candidates,icao4444-extracted,reduced_runway_7_11,icao4444-extracted::reduced_runway_7_11::ab9c766811a8897c,accepted,authoritative_requirement,shall,definition,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;nested_conditions,"Category 2 aircraft are defined as single-engine propeller aircraft with a maximum certificated take-off mass of more than 2 000 kg but less than 7 000 kg, and twin-engine propeller aircraft with a maximum certificated take-off mass of less than 7 000 kg.",Category 2 aircraft: single-engine propeller aircraft with a maximum certificated take-off mass of more than 2 000 kg but less than 7 000 kg; and twin-engine propeller aircraft with a maximum certificated take-off mass of less than 7 000 kg;,,,,,
R030,record,candidates,icao4444-extracted,speed_control_4_6_1,icao4444-extracted::speed_control_4_6_1::8357e703f52d70a6,accepted,background_support,note,performance_limitation_note,review_only,review_only,curated;judge_demoted;support_only,"When an aircraft is heavily loaded and at a high level, its ability to change speed may, in cases, be very limited.","When an aircraft is heavily loaded and at a high level, its ability to change speed may, in cases, be very limited.",promote_with_corrections,,,,
R031,record,candidates,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::6524e899c0a46912,accepted,authoritative_requirement,shall,workflow_constraint,partially_executable,property_or_family_test,curated;executable_or_partial;manual_split;nested_conditions;parent_child,"Control of a departing aircraft shall be transferred from the unit providing aerodrome control service to the unit providing approach control service under the VMC or IMC timing conditions listed in ICAO Doc 4444 section 4.3.2.1.3, as specified in letters of agreement or local instructions.","4.3.2.1.3 Departing aircraft. Control of a departing aircraft shall be transferred from the unit providing aerodrome
control service to the unit providing approach control service:
a)

when visual meteorological conditions prevail in the vicinity of the aerodrome:
1) prior to the time the aircraft leaves the vicinity of the aerodrome,
2) prior to the aircraft entering instrument meteorological conditions, or
3) when the aircraft is at a prescribed point or level,

as specified in letters of agreement or ATS unit instructions;
---
b) when instrument meteorological conditions prevail at the aerodrome:
1) immediately after the aircraft is airborne, or
2) when the aircraft is at a prescribed point or level,
as specified in letters of agreement or local instructions.",manual_split_accept,,,,
R032,record,rejected,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::e87aa82016b9b93b,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child;quote_audit_fail,"Control of an arriving aircraft shall be transferred from the unit providing approach control service to the unit providing aerodrome control service when the aircraft is in the vicinity of the aerodrome and it is considered that approach and landing will be completed in visual reference to the ground, or has reached uninterrupted visual meteorological conditions, as specified in letters of agreement or ATS unit instructions.","Control of an arriving aircraft shall be transferred from the unit providing approach control service to the unit providing aerodrome control service when the aircraft: a) is in the vicinity of the aerodrome, and 1) it is considered that approach and landing will be completed in visual reference to the ground, or 2) has reached uninterrupted visual meteorological conditions... as specified in letters of agreement or ATS unit instructions.",reject,,,,
R033,record,candidates,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::f0cb8347ee5a5ea9,accepted,background_support,note,operational_exception,review_only,review_only,curated;judge_demoted;nested_conditions;parent_child;support_only,"Control of certain flights may be transferred directly from an ACC to an aerodrome control tower and vice versa, by prior arrangement between the units concerned for the relevant part of approach control service to be provided by the ACC or the aerodrome control tower, as applicable.","Even though there is an approach control unit, control of certain flights may be transferred directly from an ACC to an aerodrome control tower and vice versa, by prior arrangement between the units concerned for the relevant part of approach control service to be provided by the ACC or the aerodrome control tower, as applicable.",promote_with_corrections,,,,
R034,record,candidates,icao4444-extracted,wake_turbulence_5_8,icao4444-extracted::wake_turbulence_5_8::3cebabb5ef5a6558,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,curated;executable_or_partial;table_or_figure,A separation minimum of 2 minutes shall be applied between a LIGHT or MEDIUM aircraft and a HEAVY aircraft and between a LIGHT aircraft and a MEDIUM aircraft when operating on a runway with a displaced landing threshold when a departing LIGHT or MEDIUM aircraft follows a HEAVY aircraft arrival and a departing LIGHT aircraft follows a MEDIUM aircraft arrival.,"A separation minimum of 2 minutes shall be applied between a LIGHT or MEDIUM aircraft and a HEAVY aircraft and between a LIGHT aircraft and a MEDIUM aircraft when operating on a runway with a displaced landing threshold when:
---
a) a departing LIGHT or MEDIUM aircraft follows a HEAVY aircraft arrival and a departing LIGHT aircraft follows a MEDIUM aircraft arrival; or",manual_corrected_replacement_accept,,,,
R035,record,candidates,icao9432-extracted,taxi_4_4_en,icao9432-extracted::taxi_4_4_en::417f64324f7495bf,accepted,operational_guidance,none,best_practice,partially_executable,property_or_family_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"For departing aircraft, the clearance limit will normally be the taxi-holding point of the runway in use.","For departing aircraft, the clearance limit will normally be the taxi-holding point of the runway in use",promote_with_corrections,,,,
R036,record,rejected,icao9432-extracted,taxi_4_4_en,icao9432-extracted::taxi_4_4_en::453f27d271407f98,rejected,operational_guidance,shall,workflow_constraint,partially_executable,property_or_family_test,curated;dialogue_examples;executable_or_partial;judge_demoted;non_accepted,"After completion of pushback, ground staff shall provide a visual signal to the pilot indicating no objections to commencing taxiing.","Po zakończeniu wypychania obsługa naziemna podaje pilotowi sygnał wzrokowy informujący, że nie ma przeciwwskazań do rozpoczęcia kołowania",manual_section_contamination_reject,,,,
R037,record,candidates,icao9432-extracted,transfer_communications_2_8_2_en,icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc,accepted,operational_guidance,example,phraseology_rule,review_only,review_only,curated;dialogue_examples;judge_demoted,Phraseology for frequency change includes 'CONTACT [Unit] [Frequency]' and readback 'Frequency Callsign'.,"FASTAIR 345 CONTACT ALEXANDER CONTROL 129.1
---
129.1 FASTAIR 345",promote,,,,
R038,record,rejected,icao9432-extracted,transfer_communications_2_8_2_en,icao9432-extracted::transfer_communications_2_8_2_en::b3f67ba3a9d8a2b8,rejected,background_support,note,definition,review_only,review_only,curated;curation_reject;dialogue_examples;judge_demoted;non_accepted;support_only,See APPENDIX 1 for differences from ICAO Radiotelephony Procedures.,15 See: APPENDIX 1 DIFFERENCES FROM ICAO RADIOTELEPHONY PROCEDURES,reject,,,,
R039,record,candidates,safetysense22-extracted,readbacks,safetysense22-extracted::readbacks::90320bb2ed9a12a0,accepted,best_practice,must,rule,sim_executable,deterministic_test,curated;executable_or_partial;local_or_best_practice;nested_conditions,VDF information must be read back in their entirety.,"The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:
---
12. VDF information",manual_quote_context_repair,,,,
R040,record,rejected,safetysense22-extracted,readbacks,safetysense22-extracted::readbacks::9b6c62502e773767,rejected,best_practice,must,rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;judge_demoted;local_or_best_practice;nested_conditions;non_accepted,The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:,The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:,reject,,,,
R041,record,rejected,sera-923-2012-extracted,adherence_flight_plan_8020,sera-923-2012-extracted::adherence_flight_plan_8020::35da37ec7ec88084,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,challenger_overridden;curated;curation_reject;executable_or_partial;non_accepted;quote_audit_fail,"Requests for flight plan changes involving a change of route with destination changed shall include aircraft identification, flight rules, description of revised route of flight to revised destination aerodrome including related flight plan data, beginning with the position from which requested change of route is to commence, revised time estimates, alternate aerodrome(s), and any other pertinent information.","Destination changed: aircraft identification; flight rules; description of revised route of flight to revised destination aerodrome including related flight plan data, beginning with the position from which requested change of route is to commence; revised time estimates; alternate aerodrome(s); any other pertinent information",reject,,,,
R042,record,candidates,sera-923-2012-extracted,atc_service_8005,sera-923-2012-extracted::atc_service_8005::2f46ccb194a81cff,accepted,operational_guidance,may,rule,sim_executable,deterministic_test,curated;executable_or_partial;nested_conditions,"A flight may be cleared subject to maintaining own separation in respect of a specific portion of the flight below 3 050 m (10 000 ft) during climb or descent, during day in visual meteorological conditions, when requested by the pilot of an aircraft and agreed by the pilot of the other aircraft and if so prescribed by the competent authority for the cases listed under b) above in airspace Classes D and E.","except that, when requested by the pilot of an aircraft and agreed by the pilot of the other aircraft and if so prescribed by the competent authority for the cases listed under b) above in airspace Classes D and E, a flight may be cleared subject to maintaining own separation in respect of a specific portion of the flight below 3 050 m (10 000 ft) during climb or descent, during day in visual meteorological conditions.",promote_with_corrections,,,,
R043,record,candidates,sera-923-2012-extracted,clearance_coordination_8015_f,sera-923-2012-extracted::clearance_coordination_8015_f::2456f0967378ae5e,accepted,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,curated;executable_or_partial;judge_demoted,"When prescribed by the ATS unit, aircraft shall contact a downstream air traffic control unit, for the purpose of receiving a downstream clearance prior to the transfer of control point.","When prescribed by the ATS unit, aircraft shall contact a downstream air traffic control unit, for the purpose of receiving a downstream clearance prior to the transfer of control point.",promote,,,,
R044,record,candidates,sera-923-2012-extracted,clearances_8015_a_d,sera-923-2012-extracted::clearances_8015_a_d::9285a92b423c68d6,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;nested_conditions,An air traffic control clearance shall indicate aircraft identification as shown in the flight plan.,"An air traffic control clearance shall indicate:
---
(1) aircraft identification as shown in the flight plan;",,,,,
R045,record,candidates,sera-923-2012-extracted,communications_8035,sera-923-2012-extracted::communications_8035::d87a9dd92c5ecbeb,accepted,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,curated;executable_or_partial;judge_demoted,"An aircraft operated as a controlled flight shall maintain continuous air-ground voice communication watch on the appropriate communication channel of, and establish two-way communication as necessary with, the appropriate air traffic control unit, except as may be prescribed by the relevant ANSP in respect of aircraft forming part of aerodrome traffic at a controlled aerodrome.","An aircraft operated as a controlled flight shall maintain continuous air-ground voice communication watch
---
establish two-way communication as necessary with, the appropriate air traffic control unit",promote,,,,
R046,record,candidates,sera-923-2012-extracted,readback_8015_e,sera-923-2012-extracted::readback_8015_e::73a06821c9400fa6,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,curated;executable_or_partial;nested_conditions,"Runway-in-use, altimeter settings, SSR codes, newly assigned communication channels, level instructions, heading and speed instructions shall always be read back.","(1) The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice. The following items shall always be read back:
---
(iii) runway-in-use, altimeter settings, SSR codes, newly assigned communication channels, level instructions, heading and speed instructions; and",manual_quote_context_repair,,,,
R047,record,candidates,sera-923-2012-extracted,separation_minima_8010,sera-923-2012-extracted::separation_minima_8010::e254c674f789e45e,accepted,authoritative_requirement,shall,rule,deterministic_test,deterministic_test,curated;judge_demoted,Details of the selected separation minima and of their areas of application shall be notified to the air traffic services units concerned.,"(c) Details of the selected separation minima and of their areas of application shall be notified:
---
(1) to the air traffic services units concerned; and",promote,,,,
R048,record,candidates,slovenia-vfr-extracted,readback,slovenia-vfr-extracted::readback::a9ad75de93e0b18a,accepted,background_support,note,definition,review_only,review_only,curated;local_or_best_practice;nested_conditions;support_only,′WILCO′ means ′I understand your message and will comply with it′.,′WILCO′ means ′I understand your message and will comply with it′.,manual_corrected_replacement_accept,,,,
