source_unit_id,chunk,final_state,blockers,coverage_cell
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::0afe0064c4c933af,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::2b7c45264775e3e2,chunk_04_runway_departure,policy-blocked,ControllerInterventionPolicy,Icao9432ModelGapSourceUnitSpecTest; ControllerInterventionPolicy
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::2cc8caf62c15688b,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::6b5a0d8b27525cbd,chunk_04_runway_departure,split: rendered phraseology covered; takeoff-roll/dangerous-traffic trigger policy blocked,POLICY-1,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; trigger policy/scenario remains blocked
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::6bee6c63069d8250,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::81490161201eb712,chunk_04_runway_departure,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::takeoff_procedures_4_5_8_to_4_5_12_en::8af22eb8d9795cef,chunk_04_runway_departure,covered-green declared-branch rendered phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::aerodrome_traffic_circuit_4_6_part1_en::58ae778732ec6347,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::aerodrome_traffic_circuit_4_6_part1_en::667985b4a6159d18,chunk_05_circuit_arrival_landing,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::aerodrome_traffic_circuit_4_6_part1_en::a4fcedaac8a838e1,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::aerodrome_traffic_circuit_4_6_part1_en::d65650486b4d1b8f,chunk_05_circuit_arrival_landing,policy-blocked,LocalProcedurePolicy,Icao9432ModelGapSourceUnitSpecTest; LocalProcedurePolicy
icao9432-extracted::aerodrome_traffic_circuit_4_6_part2_en::28bea79b8da559cd,chunk_05_circuit_arrival_landing,policy-blocked,ControllerInterventionPolicy,Icao9432ModelGapSourceUnitSpecTest; ControllerInterventionPolicy
icao9432-extracted::aerodrome_traffic_circuit_4_6_part2_en::34445db09fdd6e0a,chunk_05_circuit_arrival_landing,policy-blocked,LocalProcedurePolicy,Icao9432ModelGapSourceUnitSpecTest; LocalProcedurePolicy
icao9432-extracted::aerodrome_traffic_circuit_4_6_part2_en::7e3aec5e5fd60c41,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::aerodrome_traffic_circuit_4_6_part2_en::b64030acf6ef4bbd,chunk_05_circuit_arrival_landing,policy-blocked,LocalProcedurePolicy,Icao9432ModelGapSourceUnitSpecTest; LocalProcedurePolicy
icao9432-extracted::aerodrome_traffic_circuit_4_6_part2_en::dcf776a1b9c8a303,chunk_05_circuit_arrival_landing,policy-blocked,LocalProcedurePolicy,Icao9432ModelGapSourceUnitSpecTest; LocalProcedurePolicy
icao9432-extracted::final_approach_landing_4_7_en::00baaf3c55155044,chunk_05_circuit_arrival_landing,split: FINAL wording covered; distance/timing remains blocked,distance evidence,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; residual distance/timing evidence remains blocked
icao9432-extracted::final_approach_landing_4_7_en::1327871f46c1d348,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::final_approach_landing_4_7_en::1960f59d8b9efecb,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::final_approach_landing_4_7_en::1db805d02051bf47,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::final_approach_landing_4_7_en::4c698a5ad52a30e4,chunk_05_circuit_arrival_landing,split: LONG FINAL wording covered; final-turn distance remains blocked,distance evidence,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; residual final-turn distance evidence remains blocked
icao9432-extracted::final_approach_landing_4_7_en::70e781a65920c075,chunk_05_circuit_arrival_landing,split: straight-in LONG FINAL wording covered; straight-in timing/policy remains blocked,straight-in policy; distance evidence,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace; residual straight-in timing/policy remains blocked
icao9432-extracted::final_approach_landing_4_7_en::7bbc96aa5ee36893,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::final_approach_landing_4_7_en::aaf5262d8e7750b2,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::final_approach_landing_4_7_en::b1c21e2f70bbf36f,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1; traffic policy
icao9432-extracted::final_approach_landing_4_7_en::fbae3a11e1d068a3,chunk_05_circuit_arrival_landing,phraseology-later,PHRASE-1,Icao9432ModelGapSourceUnitSpecTest; PHRASE-1
icao9432-extracted::after_landing_4_9_en::203b53733da22603,chunk_06_go_around_after_landing_aerodrome_info,covered-green rendered helicopter air-taxi phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::after_landing_4_9_en::4a512226eec962cb,chunk_06_go_around_after_landing_aerodrome_info,policy-blocked,POLICY-1,Icao9432ModelGapSourceUnitSpecTest; POLICY-1
icao9432-extracted::after_landing_4_9_en::5d742dc66caa1790,chunk_06_go_around_after_landing_aerodrome_info,policy-blocked,ClearanceTimingPolicy,Icao9432ModelGapSourceUnitSpecTest; ClearanceTimingPolicy
icao9432-extracted::after_landing_4_9_en::df25159c1e7b94a3,chunk_06_go_around_after_landing_aerodrome_info,covered-green rendered first-right/contact-ground phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::after_landing_4_9_en::e30350fdecad45a1,chunk_06_go_around_after_landing_aerodrome_info,covered-green rendered phraseology,,Icao9432PhraseologyEvidenceTest; RenderedPhraseologyTrace
icao9432-extracted::essential_aerodrome_information_4_10_en::01c0a4bc62b1e926,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::1306eb5cc586df34,chunk_06_go_around_after_landing_aerodrome_info,model-gap + policy-blocked,FN43-GAP-1;OperationalGuidancePolicy,Icao9432ModelGapSourceUnitSpecTest; FN43-GAP-1; OperationalGuidancePolicy
icao9432-extracted::essential_aerodrome_information_4_10_en::18288908932d5ee8,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::1aa5cb7e758055bc,chunk_06_go_around_after_landing_aerodrome_info,model-gap + policy-blocked,FN43-GAP-1;ClearanceTimingPolicy,Icao9432ModelGapSourceUnitSpecTest; FN43-GAP-1; ClearanceTimingPolicy
icao9432-extracted::essential_aerodrome_information_4_10_en::502221a46fcc2879,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::66196c8442372a96,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::736cc42a00337fee,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::7b81f87f5c2b4d75,chunk_06_go_around_after_landing_aerodrome_info,covered-synthetic rendered example phraseology,,Icao9432EssentialAerodromeInformationEvidenceTest; SyntheticRenderedPhraseologyExample
icao9432-extracted::essential_aerodrome_information_4_10_en::9b6c9dbc2af2b5b0,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::a531dea421075380,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::c874e24413f4cdee,chunk_06_go_around_after_landing_aerodrome_info,covered-structural,,Icao9432EssentialAerodromeInformationEvidenceTest; structural essential information vocabulary
icao9432-extracted::essential_aerodrome_information_4_10_en::c92651071a9c009e,chunk_06_go_around_after_landing_aerodrome_info,model-gap + policy-blocked,FN43-GAP-1;OperationalGuidancePolicy,Icao9432ModelGapSourceUnitSpecTest; FN43-GAP-1; OperationalGuidancePolicy
icao9432-extracted::go_around_4_8_en::6c8993a0519d5d64,chunk_06_go_around_after_landing_aerodrome_info,policy-blocked,OperationalGuidancePolicy,Icao9432ModelGapSourceUnitSpecTest; OperationalGuidancePolicy
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::0b45b4a4dc2acc0c,chunk_07_vehicles_towing,model-gap + policy-blocked,VEHICLE-1;ControllerInterventionPolicy,Icao9432ModelGapSourceUnitSpecTest; VEHICLE-1; ControllerInterventionPolicy
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::24f7b6a86407ef6f,chunk_07_vehicles_towing,covered-green,,Icao9432VehicleRunwaySourceBackedScenarioTest
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::29be4b26bb851605,chunk_07_vehicles_towing,covered-green structured tow-awareness branch,,Icao9432VehicleTowingSourceBackedScenarioTest
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::331c1cfc98ead868,chunk_07_vehicles_towing,model-gap,ExpectedAircraftOperationTrigger,Icao9432ModelGapSourceUnitSpecTest; ExpectedAircraftOperationTrigger
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::4b103081585bfb71,chunk_07_vehicles_towing,covered-green rendered tow-request type/operator branch,,Icao9432VehicleTowingSourceBackedScenarioTest; RenderedPhraseologyTrace
icao9432-extracted::aerodrome_vehicles_crossing_towing_5_3_to_5_4_en::735b3e9ada06105b,chunk_07_vehicles_towing,covered-green for explicit vehicle+tow clear-beyond-holding-point evidence,,Icao9432VehicleTowingSourceBackedScenarioTest
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::122426242abf3225,chunk_07_vehicles_towing,model-gap + policy-blocked,VEHICLE-1;OperationalGuidancePolicy,Icao9432ModelGapSourceUnitSpecTest; VEHICLE-1; OperationalGuidancePolicy
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::6061311019d039c7,chunk_07_vehicles_towing,covered-green,,Icao9432VehicleMovementSourceBackedScenarioTest
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::606d053954eff037,chunk_07_vehicles_towing,model-gap + policy-blocked,VEHICLE-1;OperationalGuidancePolicy,Icao9432ModelGapSourceUnitSpecTest; VEHICLE-1; OperationalGuidancePolicy
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::7759017903acf140,chunk_07_vehicles_towing,covered-green rendered vehicle first-call branch,,Icao9432VehicleMovementSourceBackedScenarioTest; RenderedPhraseologyTrace
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::84c61b2ef1f12ad5,chunk_07_vehicles_towing,covered-green,,Icao9432VehicleMovementSourceBackedScenarioTest
icao9432-extracted::aerodrome_vehicles_intro_movement_5_1_to_5_2_en::ed59ee805ff7fe77,chunk_07_vehicles_towing,covered-green,,Icao9432VehicleMovementSourceBackedScenarioTest
icao9432-extracted::communications_failure_9_5_en::045c2e33f59f5ede,chunk_08_distress_urgency_comms_failure,covered-green structured blind next-transmission-time branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::24c806b040f4ef5e,chunk_08_distress_urgency_comms_failure,covered-green configured controller inter-station relay request branch,ControllerInterventionPolicy,Icao9432ControllerLostContactSourceBackedTest; ControllerInterventionPolicy
icao9432-extracted::communications_failure_9_5_en::75055714e70d4560,chunk_08_distress_urgency_comms_failure,covered-green configured ATC non-clearance blind-transmission branch,ClearanceTimingPolicy,Icao9432ControllerLostContactSourceBackedTest; ClearanceTimingPolicy
icao9432-extracted::communications_failure_9_5_en::78c73a75fab644f4,chunk_08_distress_urgency_comms_failure,split: structured receiver-failure blind-transmission branch covered-green; rendered receiver-failure prefix remains phraseology-later,PHRASE-1,Icao9432CommunicationsFailureSourceBackedTest; PHRASE-1
icao9432-extracted::communications_failure_9_5_en::7900c606e05e509b,chunk_08_distress_urgency_comms_failure,covered-green structured communications-failure continuation-intention branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::91e7d233bf3b64ff,chunk_08_distress_urgency_comms_failure,covered-green structured radio-failure SSR 7600 branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::975a63151706f68f,chunk_08_distress_urgency_comms_failure,covered-green structured blind-message repetition branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::abbc376a430003b0,chunk_08_distress_urgency_comms_failure,split: structured blind-transmission addressee branch covered-green; rendered addressee phraseology remains phraseology-later,PHRASE-1,Icao9432CommunicationsFailureSourceBackedTest; PHRASE-1
icao9432-extracted::communications_failure_9_5_en::b73dda299970c2f3,chunk_08_distress_urgency_comms_failure,covered-green structured blind-clearance prohibition/exception branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::bb66a050093251c2,chunk_08_distress_urgency_comms_failure,covered-green configured controller route-aircraft relay request branch,ControllerInterventionPolicy,Icao9432ControllerLostContactSourceBackedTest; ControllerInterventionPolicy
icao9432-extracted::communications_failure_9_5_en::bc9bb12804033b07,chunk_08_distress_urgency_comms_failure,split: structured blind-transmission mode/repetition branch covered-green; rendered TRANSMITTING BLIND prefix remains phraseology-later,PHRASE-1,Icao9432CommunicationsFailureSourceBackedTest; PHRASE-1
icao9432-extracted::communications_failure_9_5_en::c1c14fab53a608c6,chunk_08_distress_urgency_comms_failure,model-gap,EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1
icao9432-extracted::communications_failure_9_5_en::f05016444e2b8808,chunk_08_distress_urgency_comms_failure,covered-green structured communications-failure alternate-frequency branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::communications_failure_9_5_en::fcb3a49672165b4f,chunk_08_distress_urgency_comms_failure,covered-green structured communications-failure alternate-contact branch,,Icao9432CommunicationsFailureSourceBackedTest
icao9432-extracted::distress_messages_9_2_en::23c9f447cd6c7814,chunk_08_distress_urgency_comms_failure,split: all-fields-present structured distress-message payload representation covered-green; rendered wording/order phraseology-later,PHRASE-1,Icao9432EmergencyClassificationPayloadSourceBackedTest; PHRASE-1
icao9432-extracted::distress_messages_9_2_en::27a450fa3bfcbc0a,chunk_08_distress_urgency_comms_failure,covered-green configured distress-message addressing policy branch,OperationalGuidancePolicy,Icao9432EmergencyMessagePolicySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_messages_9_2_en::4b37e039e7eb8afa,chunk_08_distress_urgency_comms_failure,split: structured distress SSR 7700 branch covered-green; distress assistance/any-means branch remains model-gap,EMERGENCY-1,Icao9432CommunicationsFailureSourceBackedTest; Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1
icao9432-extracted::distress_messages_9_2_en::94e94be0c800c982,chunk_08_distress_urgency_comms_failure,covered-green configured relayed-distress payload-variation policy branch,OperationalGuidancePolicy,Icao9432EmergencyMessagePolicySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_messages_9_2_en::c20024dad1b7144e,chunk_08_distress_urgency_comms_failure,covered-green structured silence-termination branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_messages_9_2_en::e2902de496f43a95,chunk_08_distress_urgency_comms_failure,covered-green structured silence-imposition branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_messages_9_2_en::ed898005cd1a4da5,chunk_08_distress_urgency_comms_failure,covered-green structured silence-obligation branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_messages_9_2_en::f0e99a4c08ea0cb3,chunk_08_distress_urgency_comms_failure,model-gap + phraseology-later,PHRASE-1;EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1; PHRASE-1
icao9432-extracted::distress_urgency_intro_9_1_en::06f7a72397c325ac,chunk_08_distress_urgency_comms_failure,covered-green configured distress interference-suppression branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::13d1c2accd0f7a73,chunk_08_distress_urgency_comms_failure,model-gap + phraseology-later,PHRASE-1;EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1; PHRASE-1
icao9432-extracted::distress_urgency_intro_9_1_en::1a20cd48e58a5693,chunk_08_distress_urgency_comms_failure,covered-green structured emergency-priority projection branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::24f94381ed9e8ce1,chunk_08_distress_urgency_comms_failure,covered-green configured emergency frequency-continuity policy branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::2fee92c222323e6a,chunk_08_distress_urgency_comms_failure,covered-green structured alternate emergency frequency branch,,Icao9432EmergencyAssistanceRelaySourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::3b1079aa56df2ce6,chunk_08_distress_urgency_comms_failure,covered-green structured emergency-priority projection branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::7d35c042421b5b03,chunk_08_distress_urgency_comms_failure,covered-green structured emergency-frequency discipline projection branch,,Icao9432EmergencyPrioritySilenceSourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::82ee7048517d8478,chunk_08_distress_urgency_comms_failure,covered-green configured assistance-content policy branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::87b67820c6092a98,chunk_08_distress_urgency_comms_failure,covered-green configured pilot safety-doubt assistance branch,OperationalGuidancePolicy,Icao9432PilotSafetyDoubtSourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::8b3b3b4117c04807,chunk_08_distress_urgency_comms_failure,covered-green structured distress-classification branch,,Icao9432EmergencyClassificationPayloadSourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::8e9f7818b91d08c3,chunk_08_distress_urgency_comms_failure,covered-green structured intercepted-distress relay branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::9907744b4723d14c,chunk_08_distress_urgency_comms_failure,model-gap + phraseology-later,PHRASE-1;EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1; PHRASE-1
icao9432-extracted::distress_urgency_intro_9_1_en::9c34a1b8d6d623fa,chunk_08_distress_urgency_comms_failure,covered-green structured emergency assistance actor branch,,Icao9432EmergencyAssistanceRelaySourceBackedTest
