source_unit_id,document_id,section_id,family_id,claim_text,modality,authority_class,requirement_kind,registry_testability,verification_mode,source_quote_excerpt,start_line,end_line,registry_path,operational_area,chunk_id,normative_kind,current_testability,likely_target,policy_concept,blocking_item
icao9432-extracted::transfer_communications_2_8_2_en::40382df156ad071e,icao9432-extracted,transfer_communications_2_8_2_en,icao9432_clearance_comms_phraseology_family,An aircraft shall be advised by the appropriate aeronautical station to change from one radio frequency to another in accordance with agreed procedures.,shall,authoritative_requirement,rule,partially_executable,property_or_family_test,An aircraft shall be advised by the appropriate aeronautical station to change from one radio frequency to another in accordance with agreed procedures.,3830,3855,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/transfer_communications_2_8_2_en/icao9432-extracted::transfer_communications_2_8_2_en::40382df156ad071e.json,frequency-transfer,chunk-01-comms-readback-transfer,must,needs-observation-fact,simEvidence,,FN44-GAP-1
icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc,icao9432-extracted,transfer_communications_2_8_2_en,icao9432_clearance_comms_phraseology_family,Phraseology for frequency change includes 'CONTACT [Unit] [Frequency]' and readback 'Frequency Callsign'.,example,operational_guidance,phraseology_rule,review_only,review_only,FASTAIR 345 CONTACT ALEXANDER CONTROL 129.1,3830,3855,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/transfer_communications_2_8_2_en/icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc.json,frequency-transfer,chunk-01-comms-readback-transfer,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::transfer_communications_2_8_2_en::b49ae03cbbb2d538,icao9432-extracted,transfer_communications_2_8_2_en,icao9432_clearance_comms_phraseology_family,"In the absence of such advice, the aircraft shall notify the aeronautical station before such a change takes place.",shall,authoritative_requirement,rule,partially_executable,property_or_family_test,"In the absence of such advice, the aircraft shall notify the aeronautical station before such a change takes place.",3830,3855,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/transfer_communications_2_8_2_en/icao9432-extracted::transfer_communications_2_8_2_en::b49ae03cbbb2d538.json,frequency-transfer,chunk-01-comms-readback-transfer,must-not,needs-observation-fact,simEvidence,,FN44-GAP-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::095624c5163849a4,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"Controllers should not transmit to an aircraft during take-off, initial climb, the last part of final approach or the landing roll, unless it is necessary for safety reasons.",should,operational_guidance,workflow_constraint,partially_executable,property_or_family_test,"Controllers should not transmit to an aircraft during take-off, initial climb, the last part of final approach or the landing roll, unless it is necessary for safety reasons",4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::095624c5163849a4.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,policy,needs-observation-fact,simEvidence,CriticalPhaseTransmissionPolicy,FN43-GAP-2
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::35ad4a7f3d8d2ead,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"Phraseology for initiating engine start includes: 'READY TO START UP', 'START NUMBER ONE', or 'STARTING NUMBER ONE'.",example,operational_guidance,phraseology_rule,sim_executable,deterministic_test,READY TO START UP,4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::35ad4a7f3d8d2ead.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::39a4619cec62a93f,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,Phraseology for approving start up includes: '[Callsign] START UP APPROVED [QNH]'.,example,operational_guidance,phraseology_rule,sim_executable,deterministic_test,FASTAIR 345 START UP APPROVED QNH 1009,4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::39a4619cec62a93f.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::86ba1c63169eceff,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,Phraseology for approving start up at a specific time includes: '[Callsign] START UP AT [Time] [QNH]'.,example,operational_guidance,phraseology_rule,sim_executable,deterministic_test,FASTAIR 345 START UP AT 35 QNH 1009,4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::86ba1c63169eceff.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::95034efc191fa9cd,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"Having received ATC approval, the pilot starts the engines assisted as necessary by ground crew.",none,operational_guidance,workflow_constraint,partially_executable,property_or_family_test,"Having received ATC approval, the pilot starts the engines assisted as necessary by ground crew.",4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::95034efc191fa9cd.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,must,needs-observation-fact,simEvidence,,FN43-GAP-2
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::b6a69b358e0a53f2,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,Phraseology for indicating expected departure time with start up at own discretion includes: '[Callsign] EXPECT DEPARTURE AT [Time] START UP AT OWN DISCRETION [QNH]'.,example,operational_guidance,phraseology_rule,sim_executable,deterministic_test,FASTAIR 345 EXPECT DEPARTURE AT 49 START UP AT OWN DISCRETION QNH 1009,4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::b6a69b358e0a53f2.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::bba49998378e3b31,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"Where no ATIS is provided, the pilot may ask for current aerodrome information before requesting start up.",may,operational_guidance,phraseology_rule,partially_executable,exploratory_probe,"Where no ATIS is provided, the pilot may ask for current aerodrome information before requesting start up.",4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::bba49998378e3b31.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::c43cb2d0a82356bd,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,Phraseology for indicating expected start up time includes: '[Callsign] EXPECT START UP AT [Time] [QNH]'.,example,operational_guidance,phraseology_rule,sim_executable,deterministic_test,FASTAIR 345 EXPECT START UP AT 35 QNH 1009,4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::c43cb2d0a82356bd.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::d822c98e298fcbfd,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"Along with the request to start engines, the pilot will state the location of the aircraft and acknowledge receipt of the ATIS broadcast.",shall,operational_guidance,phraseology_rule,partially_executable,exploratory_probe,"Along with the request, the pilot will state the location of the aircraft and acknowledge receipt of the ATIS broadcast.",4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::d822c98e298fcbfd.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::f089b47d46d9653d,icao9432-extracted,aerodrome_ch4_intro_start_4_1_to_4_2_en,icao9432_aerodrome_phraseology_family,"When the departure of the aircraft will be delayed, the controller will normally indicate a start up time or an expected start up time.",should,operational_guidance,phraseology_rule,partially_executable,exploratory_probe,"When the departure of the aircraft will be delayed, the controller will normally indicate a start up time or an expected start up time.",4706,4818,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/aerodrome_ch4_intro_start_4_1_to_4_2_en/icao9432-extracted::aerodrome_ch4_intro_start_4_1_to_4_2_en::f089b47d46d9653d.json,critical-phase-radio-discipline,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::45020d8d667c291c,icao9432-extracted,test_procedures_2_8_4_en,icao9432_communications_family,"Test transmissions should include the identification of the aeronautical station being called, the aircraft identification, the words ""RADIO CHECK"", and the frequency being used.",should,operational_guidance,phraseology_rule,sim_executable,deterministic_test,Test transmissions should take the following form:,4086,4197,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/test_procedures_2_8_4_en/icao9432-extracted::test_procedures_2_8_4_en::45020d8d667c291c.json,radio-test-procedures,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::486f651c71895e42,icao9432-extracted,test_procedures_2_8_4_en,icao9432_communications_family,"When a pilot receives an instruction or clearance they cannot execute, they should notify using the words 'NIE MOGĘ' and provide the reason.",should,operational_guidance,phraseology_rule,sim_executable,deterministic_test,"Gdy pilot otrzyma zezwolenie lub instrukcję, której nie jest w stanie wykonać, powinien zawiadomić o tym słowami „NIE MOGĘ” i podać przyczynę.",4086,4197,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/test_procedures_2_8_4_en/icao9432-extracted::test_procedures_2_8_4_en::486f651c71895e42.json,radio-test-procedures,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::b0c636108a61a135,icao9432-extracted,test_procedures_2_8_4_en,icao9432_communications_family,"Replies to test transmissions should include the identification of the station calling, the identification of the station replying, and information regarding the readability of the transmission.",should,operational_guidance,phraseology_rule,sim_executable,deterministic_test,Replies to test transmissions should be as follows:,4086,4197,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/test_procedures_2_8_4_en/icao9432-extracted::test_procedures_2_8_4_en::b0c636108a61a135.json,radio-test-procedures,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::d67d1f63cbbecd7d,icao9432-extracted,test_procedures_2_8_4_en,icao9432_communications_family,Ground station test signals for transmitter or receiver adjustment shall not continue for more than 10 seconds and shall be composed of spoken numbers followed by the radio call sign of the station.,shall,operational_guidance,rule,sim_executable,deterministic_test,"When it is necessary for a ground station to make test signals, either for the adjustment of a transmitter before making a call or for the adjustment of a receiver, such signals shall not continue for more than 10 seconds and shall be compo",4086,4197,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/test_procedures_2_8_4_en/icao9432-extracted::test_procedures_2_8_4_en::d67d1f63cbbecd7d.json,radio-test-procedures,chunk-02-radio-procedures-and-policy,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::test_procedures_2_8_4_en::daa4fadde3c06a1f,icao9432-extracted,test_procedures_2_8_4_en,icao9432_communications_family,"The readability of transmissions should be classified using the scale: 1. Unreadable, 2. Readable now and then, 3. Readable but with difficulty, 4. Readable, 5. Perfectly readable.",should,operational_guidance,definition,review_only,property_or_family_test,The readability of transmissions should be classified in accordance with the following readability scale:,4086,4197,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/test_procedures_2_8_4_en/icao9432-extracted::test_procedures_2_8_4_en::daa4fadde3c06a1f.json,radio-test-procedures,chunk-02-radio-procedures-and-policy,policy,needs-policy-type,simEvidence,OperationalGuidancePolicy,POLICY-1
icao9432-extracted::pushback_powerback_4_3_en::1aae1f61b91984e8,icao9432-extracted,pushback_powerback_4_3_en,icao9432_aerodrome_phraseology_family,Power-back is used by aircraft to reverse using the power of their engines (e.g. turboprop aircraft).,note,background_support,definition,review_only,review_only,Power-back is used by aircraft to reverse using the power of their engines (e.g. turboprop aircraft).,4819,4916,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/pushback_powerback_4_3_en/icao9432-extracted::pushback_powerback_4_3_en::1aae1f61b91984e8.json,pushback-powerback,chunk-03-ground-movement,must,needs-sim-model,expected-gap,,PUSHBACK-1
icao9432-extracted::pushback_powerback_4_3_en::5980a8f786170b01,icao9432-extracted,pushback_powerback_4_3_en,icao9432_aerodrome_phraseology_family,Requests for push-back or power-back are made to ATC or apron management depending on the local procedures.,shall,operational_guidance,rule,partially_executable,property_or_family_test,Requests for push-back or power-back are made to ATC or apron management depending on the local procedures.,4819,4916,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/pushback_powerback_4_3_en/icao9432-extracted::pushback_powerback_4_3_en::5980a8f786170b01.json,pushback-powerback,chunk-03-ground-movement,policy,needs-sim-model,expected-gap,LocalProcedurePolicy,PUSHBACK-1
icao9432-extracted::pushback_powerback_4_3_en::b3652213a568f55f,icao9432-extracted,pushback_powerback_4_3_en,icao9432_aerodrome_phraseology_family,When the manoeuvre is complete the ground crew gives the pilot a visual signal to indicate that the aircraft is free to taxi.,shall,operational_guidance,workflow_constraint,partially_executable,property_or_family_test,When the manoeuvre is complete the ground crew gives the pilot a visual signal to indicate that the aircraft is free to taxi.,4819,4916,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/pushback_powerback_4_3_en/icao9432-extracted::pushback_powerback_4_3_en::b3652213a568f55f.json,pushback-powerback,chunk-03-ground-movement,must,needs-sim-model,expected-gap,,PUSHBACK-1
icao9432-extracted::pushback_powerback_4_3_en::da5fd317668b375a,icao9432-extracted,pushback_powerback_4_3_en,icao9432_aerodrome_phraseology_family,"Should the pilot wish to stop the manoeuvre at any stage, the phrase 'stop push-back' should be used.",should,operational_guidance,phraseology_rule,sim_executable,deterministic_test,"Should the pilot wish to stop the manoeuvre at any stage, the phrase ""stop push-back"" should be used.",4819,4916,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/pushback_powerback_4_3_en/icao9432-extracted::pushback_powerback_4_3_en::da5fd317668b375a.json,pushback-powerback,chunk-03-ground-movement,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::pushback_powerback_4_3_en::fc3dfdf7cc913637,icao9432-extracted,pushback_powerback_4_3_en,icao9432_aerodrome_phraseology_family,The phraseology listed in section 4.3.2 should be used by the pilot and the ground crew to coordinate the push-back.,should,operational_guidance,phraseology_rule,sim_executable,deterministic_test,The following phraseology should be used by the pilot and the ground crew to coordinate the push-back.,4819,4916,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/pushback_powerback_4_3_en/icao9432-extracted::pushback_powerback_4_3_en::fc3dfdf7cc913637.json,pushback-powerback,chunk-03-ground-movement,phraseology,phraseology-later,monitor/report-only,,PHRASE-1
icao9432-extracted::taxi_4_4_en::03985c8e2cf3f473,icao9432-extracted,taxi_4_4_en,icao9432_taxi_family,The clearance limit for departing aircraft may be any other position on the aerodrome depending on prevailing traffic circumstances.,may,operational_guidance,rule,partially_executable,property_or_family_test,but it may be any other position on the aerodrome depending on the prevailing traffic circumstances,4917,5139,research/tools/requirements-spike/registry/ollama_first/candidates/icao9432-extracted/taxi_4_4_en/icao9432-extracted::taxi_4_4_en::03985c8e2cf3f473.json,taxi-ground-movement,chunk-03-ground-movement,policy,needs-policy-type,simEvidence,LocalProcedurePolicy,POLICY-1
