rowId,documentId,sectionRef,title,disposition,priority,startLine,endLine,queueState,rationale,nextAction
h01-extracted::h01_5_6,h01-extracted,H01 5.6,General flight handling phraseology,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
h01-extracted::h01_5_8,h01-extracted,H01 5.8,Phraseologies in contingencies,extract,high,,,needs_exact_line_range,Austrian operational guidance; bilingual text needs English-side filtering before extraction.,Use in a phraseology/communications topic batch.
icao4444-extracted::icao4444_4_1,icao4444-extracted,ICAO4444 4.1,Responsibility for the provision of air traffic control service,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_2,icao4444-extracted,ICAO4444 4.2,Responsibility for the provision of flight information service and alerting service,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_3,icao4444-extracted,ICAO4444 4.3,Division of responsibility for control between air traffic control units,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_5,icao4444-extracted,ICAO4444 4.5,Air traffic control clearances,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_6,icao4444-extracted,ICAO4444 4.6,Horizontal speed control instructions,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_7,icao4444-extracted,ICAO4444 4.7,Vertical speed control instructions,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_9,icao4444-extracted,ICAO4444 4.9,Wake turbulence categories,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_10,icao4444-extracted,ICAO4444 4.10,Altimeter setting procedures,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_11,icao4444-extracted,ICAO4444 4.11,Position reporting,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_4_14,icao4444-extracted,ICAO4444 4.14,Failure or irregularity of systems and equipment,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_2,icao4444-extracted,ICAO4444 5.2,Provisions for the separation of controlled traffic,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_3,icao4444-extracted,ICAO4444 5.3,Vertical separation,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_4,icao4444-extracted,ICAO4444 5.4,Horizontal separation,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_6,icao4444-extracted,ICAO4444 5.6,Minimum separation between departing aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_7,icao4444-extracted,ICAO4444 5.7,Separation of departing aircraft from arriving aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_8,icao4444-extracted,ICAO4444 5.8,Time-based wake turbulence longitudinal separation minima,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_10,icao4444-extracted,ICAO4444 5.10,Essential traffic information,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_5_11,icao4444-extracted,ICAO4444 5.11,Reduction in separation minima,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_1,icao4444-extracted,ICAO4444 6.1,Reduction in separation minima in the vicinity of aerodromes,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_2,icao4444-extracted,ICAO4444 6.2,Essential local traffic,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_3,icao4444-extracted,ICAO4444 6.3,Procedures for departing aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_4,icao4444-extracted,ICAO4444 6.4,Information for departing aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_5,icao4444-extracted,ICAO4444 6.5,Procedures for arriving aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_6,icao4444-extracted,ICAO4444 6.6,Information for arriving aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_6_7,icao4444-extracted,ICAO4444 6.7,Operations on parallel or near-parallel runways,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_1,icao4444-extracted,ICAO4444 7.1,Functions of aerodrome control towers,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_2,icao4444-extracted,ICAO4444 7.2,Selection of runway-in-use,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_3,icao4444-extracted,ICAO4444 7.3,Initial call to aerodrome control tower,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_4,icao4444-extracted,ICAO4444 7.4,Information to aircraft by aerodrome control towers,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_5,icao4444-extracted,ICAO4444 7.5,Essential information on aerodrome conditions,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_6,icao4444-extracted,ICAO4444 7.6,Control of aerodrome traffic,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_7,icao4444-extracted,ICAO4444 7.7,Control of traffic in the traffic circuit,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_8,icao4444-extracted,ICAO4444 7.8,Order of priority for arriving and departing aircraft,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_11,icao4444-extracted,ICAO4444 7.11,Reduced runway separation minima between aircraft using the same runway,partially_extracted,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_12,icao4444-extracted,ICAO4444 7.12,Use of a visual surveillance system in aerodrome control service,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_13,icao4444-extracted,ICAO4444 7.13,Procedures for low visibility operations,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_14,icao4444-extracted,ICAO4444 7.14,Suspension of visual flight rules operations,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_15,icao4444-extracted,ICAO4444 7.15,Authorization of special VFR flights,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_16,icao4444-extracted,ICAO4444 7.16,Aeronautical ground lights,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_7_17,icao4444-extracted,ICAO4444 7.17,Designation of hot spots,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_12_1,icao4444-extracted,ICAO4444 12.1,Communications procedures,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_12_2,icao4444-extracted,ICAO4444 12.2,General phraseologies,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_12_3,icao4444-extracted,ICAO4444 12.3,ATC phraseologies,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_15_1,icao4444-extracted,ICAO4444 15.1,Emergency procedures,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_15_3,icao4444-extracted,ICAO4444 15.3,Air-ground communications failure,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_15_4,icao4444-extracted,ICAO4444 15.4,Assistance to VFR flights,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao4444-extracted::icao4444_15_6,icao4444-extracted,ICAO4444 15.6,ATC contingencies,extract,high,,,needs_exact_line_range,Primary ICAO procedural source; extract by topic where relevant to tower/controller behaviour.,Queue by topic batch if disposition is extract or partially_extracted.
icao9432-extracted::icao9432_2_8,icao9432-extracted,ICAO9432 2.8,Communications,partially_extracted,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_2_8_2,icao9432-extracted,ICAO9432 2.8.2,Transfer of communications,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_ch4,icao9432-extracted,ICAO9432 Ch4,Aerodrome control: aircraft,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_2,icao9432-extracted,ICAO9432 4.2,Departure information and engine starting procedures,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_3,icao9432-extracted,ICAO9432 4.3,Push-back,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_5,icao9432-extracted,ICAO9432 4.5,Take-off procedures,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_6,icao9432-extracted,ICAO9432 4.6,Aerodrome traffic circuit,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_7,icao9432-extracted,ICAO9432 4.7,Final approach and landing,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_8,icao9432-extracted,ICAO9432 4.8,Go around,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_9,icao9432-extracted,ICAO9432 4.9,After landing,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_4_10,icao9432-extracted,ICAO9432 4.10,Essential aerodrome information,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_ch5,icao9432-extracted,ICAO9432 Ch5,Aerodrome control: vehicles,extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
icao9432-extracted::icao9432_ch9,icao9432-extracted,ICAO9432 Ch9,"Distress, urgency, and communications failure",extract,high,,,needs_exact_line_range,ICAO radiotelephony manual; bilingual extraction requires English-side filtering.,Use as phraseology/support extraction source by topic.
sera-923-2012-extracted::sera_3225,sera-923-2012-extracted,SERA.3225,Operation on and in the vicinity of an aerodrome,extract,high,1441,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_6005,sera-923-2012-extracted,SERA.6005,Requirements for communications and SSR transponder,extract,high,1883,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_7001,sera-923-2012-extracted,SERA.7001,General — Objectives of the air traffic services,extract,high,1900,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_7005,sera-923-2012-extracted,SERA.7005,Coordination between the aircraft operator and air traffic services,extract,high,1917,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_9005,sera-923-2012-extracted,SERA.9005,Scope of flight information service,extract,high,2173,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_9010,sera-923-2012-extracted,SERA.9010,Automatic terminal information service (ATIS),extract,high,2201,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_11005,sera-923-2012-extracted,SERA.11005,Service to aircraft in the event of an emergency,extract,high,2361,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
sera-923-2012-extracted::sera_12015,sera-923-2012-extracted,SERA.12015,Reporting of aircraft observations by voice communication,extract,high,2840,,needs_exact_line_range,"Binding SERA material relevant to ATC service, communications, FIS, aerodrome, or emergencies.",Queue by SERA topic if needed.
