sampleId,sampleKind,bucket,documentId,sectionId,canonicalId,lifecycleState,authorityClass,modality,requirementKind,testability,verificationMode,riskTags,claimText,exactSourceQuotes,curationAction,reviewVerdict,errorType,severity,reviewerNotes
R011,record,candidates,cap413-extracted,unable_reclearance_critical_info_2_72_to_2_75,cap413-extracted::unable_reclearance_critical_info_2_72_to_2_75::6e7ad694d76c98e9,accepted,operational_guidance,example,best_practice,review_only,review_only,challenger_overridden;curated;judge_demoted;support_only,Windshear Warnings are considered examples of critical information.,Windshear Warnings.,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R012,record,rejected,cap413-extracted,unable_reclearance_critical_info_2_72_to_2_75,cap413-extracted::unable_reclearance_critical_info_2_72_to_2_75::af1bed78594b1d89,rejected,authoritative_requirement,shall,definition,review_only,property_or_family_test,challenger_overridden;curated;curation_reject;judge_overridden;non_accepted;quote_audit_fail,"Critical information is information, other than that required to enable routine flight, which must be received by pilots to ensure the safety and effective operation of their aircraft.","Critical information is information, other than that required to enable routine flight, which must be received by pilots to ensure the safety and effective operation of their aircraft.",reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R013,record,candidates,egast-vfr-extracted,readback_advisory,egast-vfr-extracted::readback_advisory::2c0a6da5b0abc95f,accepted,background_support,note,background_support,review_only,review_only,challenger_overridden;curated;judge_demoted;local_or_best_practice;nested_conditions;support_only,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,Reading back a clearance and any safety critical information helps both the pilot and the controller understand what the aircraft has been instructed to do.,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R014,record,candidates,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::1ba408f68e9b501d,accepted,operational_guidance,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;curated;executable_or_partial;judge_demoted;nested_conditions;parent_child,"Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway shall always be read back.","The following items shall always be read back:
---
Clearances and instructions to enter, land on, take off from, hold short of, cross, taxi and backtrack on any runway",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R015,record,rejected,h01-extracted,acknowledgement_3_8_1,h01-extracted::acknowledgement_3_8_1::647df1446645072b,rejected,operational_guidance,shall,rule,partially_executable,property_or_family_test,bilingual;curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R016,record,candidates,h01-extracted,assurance_rtf_frequencies_3_9,h01-extracted::assurance_rtf_frequencies_3_9::9f2e05427db05b16,accepted,operational_guidance,shall,rule,sim_executable,deterministic_test,bilingual;challenger_overridden;dialogue_examples;executable_or_partial,The air-ground control station shall designate the frequency (-ies) to be used under normal conditions by aircraft stations operating under its control.,The air-ground control station shall designate the frequency (-ies) to be used under normal conditions by aircraft stations operating under its control.,,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R017,record,candidates,h01-extracted,corrections_3_8_3,h01-extracted::corrections_3_8_3::16272622eb9270ac,accepted,operational_guidance,should,best_practice,review_only,review_only,bilingual;challenger_overridden;curated;judge_demoted,"Specific items should be requested, as appropriate, such as SAY AGAIN WIND.","Specific items should be requested, as appropriate, such as “SAY AGAIN WIND”.",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R018,record,candidates,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::ea64ad7c56d8e4ef,accepted,best_practice,should,best_practice,partially_executable,property_or_family_test,executable_or_partial;judge_overridden;table_or_figure,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,Aircraft should be watched closely as they approach these positions so that proper clearances may be issued without delay.,,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R019,record,rejected,icao4444-extracted,aerodrome_traffic_7_6,icao4444-extracted::aerodrome_traffic_7_6::f11471c05d5603f6,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;curation_reject;executable_or_partial;judge_demoted;non_accepted;table_or_figure,Clearance to land shall be issued at Position 4 as practicable.,Position 4. Clearance to land is issued here as practicable.,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R020,record,candidates,icao4444-extracted,arriving_aircraft_7_10,icao4444-extracted::arriving_aircraft_7_10::dcc6bc5c93d748ec,accepted,background_support,note,definition,review_only,review_only,curated;judge_demoted;nested_conditions;support_only,See Figure 7-2.,Note 1.— See Figure 7-2.,promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R021,record,candidates,icao4444-extracted,clearance_scope_contents_4_5_1_to_4_5_7_4,icao4444-extracted::clearance_scope_contents_4_5_1_to_4_5_7_4::85846fa1a8b72599,accepted,operational_guidance,note,definition,review_only,review_only,curated;judge_demoted;support_only,See 6.3.2.3 pertaining to standard clearances for departing aircraft and 6.5.2.3 pertaining to standard clearances for arriving aircraft.,See 6.3.2.3 pertaining to standard clearances for departing aircraft and 6.5.2.3 pertaining to standard clearances for arriving aircraft.,promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R022,record,rejected,icao4444-extracted,clearance_scope_contents_4_5_1_to_4_5_7_4,icao4444-extracted::clearance_scope_contents_4_5_1_to_4_5_7_4::b0cea0c2e3246c75,rejected,authoritative_requirement,may,phraseology_rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;non_accepted;quote_audit_fail,The phrases 'cleared (designation) departure' or 'cleared (designation) arrival' may be used when standard departure or arrival routes have been established by the appropriate ATS authority and published in Aeronautical Information Publications (AIPs).,The phrases 'cleared (designation) departure' or 'cleared (designation) arrival' may be used when standard departure or arrival routes have been established,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R023,record,candidates,icao4444-extracted,departing_aircraft_7_9,icao4444-extracted::departing_aircraft_7_9::d6865a7f538c64f6,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;nested_conditions;table_or_figure,A departing aircraft will not normally be permitted to commence take-off until the preceding departing aircraft has crossed the end of the runway-in-use or has started a turn.,a departing aircraft will not normally be permitted to commence take-off until the preceding departing aircraft has crossed the end of the runway-in-use or has started a turn,,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R024,record,candidates,icao4444-extracted,phraseology_clearance_issuance_12_3_2_1,icao4444-extracted::phraseology_clearance_issuance_12_3_2_1::180ca61ddf3bad84,accepted,operational_guidance,shall,phraseology_rule,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;judge_overridden,Reclearance with amended clearance details shall use the format: RECLEARED (amended clearance details) [REST OF CLEARANCE UNCHANGED].,RECLEARED (amended clearance details) [REST OF CLEARANCE UNCHANGED];,,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R025,record,candidates,icao4444-extracted,phraseology_transfer_frequency_12_3_1_4,icao4444-extracted::phraseology_transfer_frequency_12_3_1_4::50ac98b0cfa6d73b,accepted,operational_guidance,shall,phraseology_rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted,Transfer of control phraseology shall use: AT (or OVER) (time or place) [or WHEN] [PASSING/LEAVING/REACHING (level)] CONTACT (unit call sign) (frequency);,"AT (or OVER) (time or place) [or WHEN]
---
[PASSING/LEAVING/REACHING (level)] CONTACT
---
(unit call sign) (frequency);",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R026,record,candidates,icao4444-extracted,position_reporting_voice_4_11_1_to_4_11_3,icao4444-extracted::position_reporting_voice_4_11_1_to_4_11_3::336bf88cabfbd998,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted,Position reports shall contain time.,time,promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R027,record,rejected,icao4444-extracted,readback_4_5_7_5,icao4444-extracted::readback_4_5_7_5::1cc502e99b33ace6,rejected,authoritative_requirement,shall,rule,sim_executable,deterministic_test,curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,The flight crew shall read back to the air traffic controller safety-related parts of ATC clearances and instructions which are transmitted by voice.,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R028,record,candidates,icao4444-extracted,readback_4_5_7_5,icao4444-extracted::readback_4_5_7_5::80a171af98372544,accepted,background_support,note,definition,review_only,review_only,curated;judge_demoted;nested_conditions;parent_child;support_only,"The procedures and provisions relating to the exchange and acknowledgement of CPDLC messages are contained in Annex 10, Volume II and the PANS-ATM, Chapter 14.","Note.— The procedures and provisions relating to the exchange and acknowledgement of CPDLC messages are contained in Annex 10, Volume II and the PANS-ATM, Chapter 14.",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R029,record,candidates,icao4444-extracted,reduced_runway_7_11,icao4444-extracted::reduced_runway_7_11::c43ffaf1e23f64ed,accepted,authoritative_requirement,shall,definition,sim_executable,deterministic_test,challenger_overridden;executable_or_partial;nested_conditions,Category 1 aircraft are defined as single-engine propeller aircraft with a maximum certificated take-off mass of 2 000 kg or less.,Category 1 aircraft: single-engine propeller aircraft with a maximum certificated take-off mass of 2 000 kg or less;,,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R030,record,candidates,icao4444-extracted,speed_control_4_6_1,icao4444-extracted::speed_control_4_6_1::68998a3add172915,accepted,operational_guidance,may,advisory_permission,sim_executable,deterministic_test,curated;executable_or_partial,"Aircraft may, subject to conditions specified by the appropriate authority, be instructed to adjust speed in a specified manner.","In order to facilitate a safe and orderly flow of traffic, aircraft may, subject to conditions specified by the
appropriate authority, be instructed to adjust speed in a specified manner.",manual_add_accept,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R031,record,candidates,icao4444-extracted,speed_control_4_6_1,icao4444-extracted::speed_control_4_6_1::8357e703f52d70a6,accepted,background_support,note,performance_limitation_note,review_only,review_only,curated;judge_demoted;support_only,"When an aircraft is heavily loaded and at a high level, its ability to change speed may, in cases, be very limited.","When an aircraft is heavily loaded and at a high level, its ability to change speed may, in cases, be very limited.",promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R032,record,rejected,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::2198f6235c44d5d7,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;judge_demoted;nested_conditions;non_accepted;parent_child;quote_audit_fail,"Control of a departing aircraft shall be transferred from the unit providing aerodrome control service to the unit providing approach control service when visual meteorological conditions prevail in the vicinity of the aerodrome, as specified in letters of agreement or ATS unit instructions.",Control of a departing aircraft shall be transferred from the unit providing aerodrome control service to the unit providing approach control service: a) when visual meteorological conditions prevail in the vicinity of the aerodrome... as specified in letters of agreement or ATS unit instructions;,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R033,record,candidates,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::6524e899c0a46912,accepted,authoritative_requirement,shall,workflow_constraint,partially_executable,property_or_family_test,curated;executable_or_partial;manual_split;nested_conditions;parent_child,"Control of a departing aircraft shall be transferred from the unit providing aerodrome control service to the unit providing approach control service under the VMC or IMC timing conditions listed in ICAO Doc 4444 section 4.3.2.1.3, as specified in letters of agreement or local instructions.","4.3.2.1.3 Departing aircraft. Control of a departing aircraft shall be transferred from the unit providing aerodrome
control service to the unit providing approach control service:
a)

when visual meteorological conditions prevail in the vicinity of the aerodrome:
1) prior to the time the aircraft leaves the vicinity of the aerodrome,
2) prior to the aircraft entering instrument meteorological conditions, or
3) when the aircraft is at a prescribed point or level,

as specified in letters of agreement or ATS unit instructions;
---
b) when instrument meteorological conditions prevail at the aerodrome:
1) immediately after the aircraft is airborne, or
2) when the aircraft is at a prescribed point or level,
as specified in letters of agreement or local instructions.",manual_split_accept,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R034,record,candidates,icao4444-extracted,transfer_4_3_2_1,icao4444-extracted::transfer_4_3_2_1::f0cb8347ee5a5ea9,accepted,background_support,note,operational_exception,review_only,review_only,curated;judge_demoted;nested_conditions;parent_child;support_only,"Control of certain flights may be transferred directly from an ACC to an aerodrome control tower and vice versa, by prior arrangement between the units concerned for the relevant part of approach control service to be provided by the ACC or the aerodrome control tower, as applicable.","Even though there is an approach control unit, control of certain flights may be transferred directly from an ACC to an aerodrome control tower and vice versa, by prior arrangement between the units concerned for the relevant part of approach control service to be provided by the ACC or the aerodrome control tower, as applicable.",promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R035,record,candidates,icao4444-extracted,wake_turbulence_5_8,icao4444-extracted::wake_turbulence_5_8::6dd2f290eea7522a,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,curated;executable_or_partial;table_or_figure,A minimum separation of 2 minutes shall be applied between a LIGHT or MEDIUM aircraft taking off behind a HEAVY aircraft or a LIGHT aircraft taking off behind a MEDIUM aircraft when the aircraft are using the same runway.,"A minimum separation of 2 minutes shall be applied between a LIGHT or MEDIUM aircraft taking off behind a HEAVY aircraft or a LIGHT aircraft taking off behind a MEDIUM aircraft when the aircraft are using:
---
a) the same runway;",manual_corrected_replacement_accept,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R036,record,candidates,icao9432-extracted,taxi_4_4_en,icao9432-extracted::taxi_4_4_en::417f64324f7495bf,accepted,operational_guidance,none,best_practice,partially_executable,property_or_family_test,challenger_overridden;curated;dialogue_examples;executable_or_partial;judge_demoted,"For departing aircraft, the clearance limit will normally be the taxi-holding point of the runway in use.","For departing aircraft, the clearance limit will normally be the taxi-holding point of the runway in use",promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R037,record,rejected,icao9432-extracted,taxi_4_4_en,icao9432-extracted::taxi_4_4_en::453f27d271407f98,rejected,operational_guidance,shall,workflow_constraint,partially_executable,property_or_family_test,curated;dialogue_examples;executable_or_partial;judge_demoted;non_accepted,"After completion of pushback, ground staff shall provide a visual signal to the pilot indicating no objections to commencing taxiing.","Po zakończeniu wypychania obsługa naziemna podaje pilotowi sygnał wzrokowy informujący, że nie ma przeciwwskazań do rozpoczęcia kołowania",manual_section_contamination_reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R038,record,candidates,icao9432-extracted,transfer_communications_2_8_2_en,icao9432-extracted::transfer_communications_2_8_2_en::96720e821bf926cc,accepted,operational_guidance,example,phraseology_rule,review_only,review_only,curated;dialogue_examples;judge_demoted,Phraseology for frequency change includes 'CONTACT [Unit] [Frequency]' and readback 'Frequency Callsign'.,"FASTAIR 345 CONTACT ALEXANDER CONTROL 129.1
---
129.1 FASTAIR 345",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R039,record,rejected,icao9432-extracted,transfer_communications_2_8_2_en,icao9432-extracted::transfer_communications_2_8_2_en::b3f67ba3a9d8a2b8,rejected,background_support,note,definition,review_only,review_only,curated;curation_reject;dialogue_examples;judge_demoted;non_accepted;support_only,See APPENDIX 1 for differences from ICAO Radiotelephony Procedures.,15 See: APPENDIX 1 DIFFERENCES FROM ICAO RADIOTELEPHONY PROCEDURES,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R040,record,candidates,safetysense22-extracted,readbacks,safetysense22-extracted::readbacks::3d2c7c537110ab85,accepted,best_practice,must,rule,sim_executable,deterministic_test,curated;executable_or_partial;local_or_best_practice;nested_conditions,Transition Levels must be read back in their entirety.,"The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:
---
15. Transition Levels",manual_quote_context_repair,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R041,record,rejected,safetysense22-extracted,readbacks,safetysense22-extracted::readbacks::9b6c62502e773767,rejected,best_practice,must,rule,partially_executable,property_or_family_test,curated;curation_reject;executable_or_partial;judge_demoted;local_or_best_practice;nested_conditions;non_accepted,The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:,The following items must be read back in their entirety if addressed to you in a transmission from an ATSU:,reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R042,record,rejected,sera-923-2012-extracted,adherence_flight_plan_8020,sera-923-2012-extracted::adherence_flight_plan_8020::35da37ec7ec88084,rejected,authoritative_requirement,shall,rule,partially_executable,property_or_family_test,challenger_overridden;curated;curation_reject;executable_or_partial;non_accepted;quote_audit_fail,"Requests for flight plan changes involving a change of route with destination changed shall include aircraft identification, flight rules, description of revised route of flight to revised destination aerodrome including related flight plan data, beginning with the position from which requested change of route is to commence, revised time estimates, alternate aerodrome(s), and any other pertinent information.","Destination changed: aircraft identification; flight rules; description of revised route of flight to revised destination aerodrome including related flight plan data, beginning with the position from which requested change of route is to commence; revised time estimates; alternate aerodrome(s); any other pertinent information",reject,correct,,,"Closure gate review: sampled rejected record remains non-product evidence; rejection/curation state is explicit, and no pending promotion remains."
R043,record,candidates,sera-923-2012-extracted,atc_service_8005,sera-923-2012-extracted::atc_service_8005::dd09fb0eb790d595,accepted,authoritative_requirement,shall,rule,sim_executable,deterministic_test,challenger_overridden;curated;executable_or_partial;judge_demoted;nested_conditions,"Separation by an air traffic control unit shall be obtained by horizontal separation, specifically longitudinal separation, by maintaining an interval between aircraft operating along the same, converging or reciprocal tracks, expressed in time or distance.","(c) Except for cases when a reduction in separation minima in the vicinity of aerodromes can be applied, separation by an air traffic control unit shall be obtained by at least one of the following:
---
(2) horizontal separation, obtained by providing:
---
(i) longitudinal separation, by maintaining an interval between aircraft operating along the same, converging or reciprocal tracks, expressed in time or distance; or",promote,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
R044,record,candidates,sera-923-2012-extracted,clearance_coordination_8015_f,sera-923-2012-extracted::clearance_coordination_8015_f::0196b1fddfacc533,accepted,authoritative_requirement,mixed,rule,partially_executable,property_or_family_test,curated;executable_or_partial,"When an aircraft intends to leave a control area for flight outside controlled airspace, and will subsequently reenter the same or another control area, a clearance from the point of departure to the aerodrome of first intended landing may be issued. Such clearance or revisions thereto shall apply only to those portions of the flight conducted within controlled airspace.","When an aircraft intends to leave a control area for flight outside controlled airspace, and will subsequently reenter the same or another control area, a clearance from the point of departure to the aerodrome of first intended landing may be issued. Such clearance or revisions thereto shall apply only to those portions of the flight conducted within controlled airspace.",promote_with_corrections,correct,,,"Closure gate review: sampled accepted record has accepted lifecycle; global quote audit found its source quotes; schema/reproducibility gates passed. This is an 80/20 confidence verdict, not a second full semantic extraction."
